1;1;2;3;2
1;2;2;1;1
1;3;3;2;1
1;4;1;2;1
1;5;17;2;1
2;6;4;3;2
3;7;4;1;2
4;8;4;1;2
4;9;4;1;2
4;10;4;1;2
5;11;7;5;0
5;12;6;2;2
5;13;17;3;1
6;14;7;2;1
6;15;7;2;1
6;16;11;1;2
6;17;11;2;1
6;14;13;2;1
6;15;13;2;1
6;16;14;1;2
6;17;15;2;1
8;7;3;2;0
8;8;1;2;0
8;9;4;2;0
8;10;8;3;0
8;11;6;2;0
8;12;7;1;0
8;13;14;1;0
8;14;15;1;0
9;15;2;1;0
9;16;3;1;0
9;17;1;1;0
9;18;6;1;0
9;19;7;1;0
9;20;2;1;0
10;21;3;1;0
10;22;1;1;0
11;23;2;1;0
11;24;3;2;0
12;25;2;1;0
12;26;3;1;0
12;27;1;1;0
12;28;6;1;0
12;29;7;1;0
12;30;11;1;0
13;31;2;1;0
13;32;3;1;0
13;33;1;1;0
13;34;6;1;0
13;35;7;1;0
13;36;11;1;0
14;37;2;1;0
14;38;3;1;0
